#chr	pos	class	strand	S1	S2
Chr1	73671	CHH	C	40/0.0/0/5	40/0.0/0/3
Chr1	73672	CHH	C	40/0.0/0/5	40/0.0/0/3
Chr1	73676	CHH	G	40/0.0/0/14	40/0.0/0/4
Chr1	73677	CHH	G	40/0.0/0/14	40/0.0/0/4
Chr1	73678	CHH	G	40/0.0/0/14	40/0.0/0/4
Chr1	73682	CHH	G	40/0.0/0/13	40/0.0/0/4
Chr1	73684	CHH	C	40/0.0/0/4	40/0.0/0/2
Chr1	73685	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	73688	CHH	C	40/0.0/0/4	40/0.0/0/2
Chr1	73691	CG	C	40/0.0/0/4	40/0.0/0/2
Chr1	73692	CG	G	40/0.0/0/11	40/0.0/0/3
Chr1	73693	CHG	G	40/0.0/0/10	40/0.0/0/4
Chr1	73694	CHH	G	40/0.0/0/10	40/0.0/0/5
Chr1	73697	CHH	G	40/0.0/0/11	40/0.0/0/5
Chr1	73698	CHG	C	40/0.0/0/2	40/0.0/0/3
Chr1	73700	CHG	G	40/0.0/0/11	40/0.0/0/5
Chr1	73701	CHH	C	40/0.0/0/2	40/0.0/0/3
Chr1	73704	CHH	G	40/0.0/0/11	40/0.0/0/5
Chr1	73705	CG	C	40/0.0/0/2	40/0.0/0/3
Chr1	73706	CG	G	40/0.0/0/11	40/0.0/0/6
Chr1	73709	CHH	G	40/0.0/0/11	40/0.0/0/4
Chr1	73710	CHH	C	40/0.0/0/3	40/0.0/0/3
Chr1	73713	CHH	C	40/0.0/0/3	40/0.0/0/2
Chr1	73716	CHH	C	40/0.0/0/3	40/0.0/0/1
Chr1	73717	CHG	C	40/0.0/0/3	40/0.0/0/1
Chr1	73719	CHG	G	40/0.0/0/10	40/0.0/0/7
Chr1	73723	CHG	C	40/0.0/0/3	0
Chr1	73724	CG	C	40/0.0/0/3	0
Chr1	73725	CG	G	40/0.0/0/10	40/0.0/0/9
Chr1	73726	CHG	G	40/0.0/0/10	40/0.0/0/9
Chr1	73728	CHH	C	40/0.0/0/3	0
Chr1	73731	CHH	G	40/0.0/0/14	40/0.0/0/10
Chr1	73732	CHH	G	40/0.0/0/15	40/0.0/0/10
Chr1	73734	CHH	G	40/0.0/0/15	40/0.0/0/10
Chr1	73735	CHH	G	40/0.0/0/15	40/0.0/0/10
Chr1	73739	CG	C	40/0.0/0/2	0
Chr1	73740	CG	G	40/0.0/0/15	40/0.0/0/10
Chr1	73741	CHG	G	40/0.0/0/15	40/0.0/0/9
Chr1	73745	CHH	C	40/0.0/0/2	0
Chr1	73747	CHH	C	40/0.0/0/2	0
Chr1	73749	CHH	C	40/0.0/0/2	0
Chr1	73754	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	73763	CHH	G	40/0.0/0/15	40/0.0/0/8
Chr1	73765	CHH	C	40/0.0/0/3	40/0.0/0/3
Chr1	73770	CHH	C	40/0.0/0/5	40/0.0/0/3
Chr1	73772	CHH	C	40/0.0/0/5	40/0.0/0/3
Chr1	73776	CHH	C	40/0.0/0/6	40/0.0/0/3
Chr1	73778	CHH	C	40/0.0/0/7	40/0.0/0/2
Chr1	73786	CHH	G	40/0.0/0/15	40/0.0/0/10
Chr1	73790	CHH	C	40/0.0/0/7	40/0.0/0/1
Chr1	73793	CHH	G	40/0.0/0/15	40/0.0/0/8
Chr1	73797	CHH	C	40/0.0/0/7	40/0.0/0/3
Chr1	73798	CHH	C	0	40/0.0/0/2
Chr1	73803	CHH	C	40/0.0/0/9	40/0.0/0/3
Chr1	73806	CHH	C	40/0.0/0/9	40/0.0/0/3
Chr1	73810	CHH	C	40/0.0/0/11	40/0.0/0/4
Chr1	73814	CHH	G	40/0.0/0/12	40/0.0/0/6
Chr1	73815	CHH	C	40/0.0/0/11	40/0.0/0/3
Chr1	73819	CHG	C	40/0.0/0/10	40/0.0/0/2
Chr1	73821	CHG	G	40/0.0/0/14	40/0.0/0/7
Chr1	73823	CHH	G	40/0.0/0/13	40/0.0/0/8
Chr1	73824	CHH	G	40/0.0/0/14	40/0.0/0/7
Chr1	73825	CHH	G	40/0.0/0/12	40/0.0/0/7
Chr1	73826	CHH	G	40/0.0/0/12	40/0.0/0/5
Chr1	73827	CHH	C	40/0.0/0/9	40/0.0/0/2
Chr1	73831	CHH	G	40/0.0/0/9	40/0.0/0/4
Chr1	73833	CHH	G	40/0.0/0/9	40/0.0/0/5
Chr1	73834	CHH	G	40/0.0/0/9	40/0.0/0/5
Chr1	73836	CHH	G	40/0.0/0/9	40/0.0/0/4
Chr1	73837	CHH	G	40/0.0/0/9	40/0.0/0/4
Chr1	73841	CHH	G	40/0.0/0/9	40/0.0/0/6
Chr1	73842	CHH	C	40/0.0/0/10	40/0.0/0/4
Chr1	73845	CHH	G	40/0.0/0/9	40/0.0/0/4
Chr1	73848	CHH	G	40/0.0/0/8	40/0.0/0/5
Chr1	73849	CHH	G	40/0.0/0/8	40/0.0/0/4
Chr1	73851	CHH	G	40/0.0/0/8	40/0.0/0/3
Chr1	73852	CHG	C	40/0.0/0/11	40/0.0/0/3
Chr1	73854	CHG	G	40/0.0/0/7	40/0.0/0/4
Chr1	73857	CHH	G	40/0.0/0/5	40/0.0/0/3
Chr1	73858	CHH	G	40/0.0/0/5	40/0.0/0/3
Chr1	73860	CHH	C	40/0.0/0/13	40/0.0/0/1
Chr1	73863	CHH	G	40/0.0/0/5	40/0.0/0/4
Chr1	73864	CHH	G	40/0.0/0/5	40/0.0/0/3
Chr1	73869	CHH	G	40/0.0/0/4	40/0.0/0/4
Chr1	73872	CHH	G	40/0.0/0/4	40/0.0/0/4
Chr1	73875	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	73876	CHH	G	40/0.0/0/4	40/0.0/0/4
Chr1	73877	CHH	C	40/0.0/0/11	40/0.0/0/4
Chr1	73880	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	73882	CHH	G	40/0.0/0/4	40/0.0/0/2
Chr1	73887	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	73888	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	73891	CHH	C	40/0.0/0/15	40/0.0/0/4
Chr1	73892	CHH	C	40/0.0/0/15	40/0.0/0/4
Chr1	73896	CHH	G	40/0.0/0/2	40/0.0/0/2
Chr1	73899	CHH	G	40/0.0/0/2	40/0.0/0/2
Chr1	73900	CHH	C	40/0.0/0/19	40/0.0/0/4
Chr1	73904	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	73909	CHH	G	0	40/0.0/0/2
Chr1	73912	CHH	G	0	40/0.0/0/2
Chr1	73920	CHH	G	0	40/0.0/0/2
Chr1	73921	CHH	G	0	40/0.0/0/2
Chr1	73923	CHH	C	40/0.0/0/19	40/0.0/0/6
Chr1	73926	CHH	G	0	40/0.0/0/1
Chr1	73928	CHH	G	0	40/0.0/0/2
Chr1	73930	CHH	G	0	40/0.0/0/1
Chr1	73932	CHH	C	40/0.0/0/18	40/0.0/0/6
Chr1	73934	CG	C	40/0.0/0/20	40/0.0/0/5
Chr1	73935	CG	G	40/0.0/0/1	0
Chr1	73939	CHH	G	40/0.0/0/1	0
Chr1	73940	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73941	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73942	CHH	C	40/0.0/0/15	40/0.0/0/5
Chr1	73948	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73949	CHH	C	40/0.0/0/15	40/0.0/0/4
Chr1	73954	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73955	CHH	C	40/0.0/0/20	40/0.0/0/5
Chr1	73958	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73962	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73964	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	73973	CHG	C	40/0.0/0/17	40/0.0/0/7
Chr1	73975	CHG	G	40/0.0/0/1	0
Chr1	73978	CHH	G	40/0.0/0/1	0
Chr1	73982	CHH	G	40/0.0/0/1	0
Chr1	73984	CHG	C	40/0.0/0/18	40/0.0/0/10
Chr1	73986	CHG	G	40/0.0/0/1	0
Chr1	73988	CHH	G	40/0.0/0/1	0
Chr1	73989	CHH	G	40/0.0/0/1	0
Chr1	73991	CHH	G	40/0.0/0/1	0
Chr1	73994	CHH	G	40/0.0/0/1	0
Chr1	73997	CHG	C	40/0.0/0/12	40/0.0/0/10
Chr1	73998	CG	C	40/0.0/0/12	40/0.0/0/10
Chr1	73999	CG	G	40/0.0/0/2	0
Chr1	74000	CHH	C	40/0.0/0/10	40/0.0/0/10
Chr1	74004	CHG	C	40/0.0/0/11	40/0.0/0/10
Chr1	74005	CG	C	40/0.0/0/11	40/0.0/0/9
Chr1	74006	CG	G	40/0.0/0/2	0
Chr1	74008	CHH	G	40/0.0/0/2	0
Chr1	74016	CHH	G	40/0.0/0/2	0
Chr1	74021	CHH	G	40/0.0/0/2	0
Chr1	74029	CHH	G	40/0.0/0/2	0
Chr1	74032	CHH	C	40/0.0/0/7	40/0.0/0/7
Chr1	74035	CHH	G	40/0.0/0/2	0
Chr1	74036	CHH	C	40/0.0/0/7	40/0.0/0/6
Chr1	74038	CG	C	40/0.0/0/7	40/0.0/0/6
Chr1	74039	CG	G	40/0.0/0/2	0
Chr1	74040	CHG	G	40/0.0/0/2	0
Chr1	74046	CHH	G	40/0.0/0/2	0
Chr1	74051	CHH	C	40/0.0/0/11	40/0.0/0/5
Chr1	74054	CG	C	40/0.0/0/11	40/0.0/0/3
Chr1	74055	CG	G	40/0.0/0/2	0
Chr1	74057	CHH	C	40/0.0/0/11	40/0.0/0/3
Chr1	74060	CG	C	40/0.0/0/10	40/0.0/0/2
Chr1	74061	CG	G	0	40/0.0/0/3
Chr1	74064	CHH	C	40/0.0/0/11	40/0.0/0/2
Chr1	74067	CHH	C	40/0.0/0/11	40/0.0/0/2
Chr1	74073	CHG	C	40/0.0/0/11	40/0.0/0/2
Chr1	74075	CHG	G	40/0.0/0/7	40/0.0/0/7
Chr1	74081	CHH	C	40/0.0/0/11	40/0.0/0/1
Chr1	74085	CHH	G	40/0.0/0/8	40/0.0/0/11
Chr1	74086	CHH	C	40/0.0/0/13	40/0.0/0/2
Chr1	74090	CHH	G	40/0.0/0/9	40/0.0/0/11
Chr1	74093	CHH	C	40/0.0/0/11	40/0.0/0/2
Chr1	74104	CHH	C	40/0.0/0/9	40/0.0/0/4
Chr1	74106	CHH	C	40/0.0/0/9	40/0.0/0/4
Chr1	74110	CHG	C	40/0.0/0/8	40/0.0/0/4
Chr1	74111	CG	C	40/0.0/0/8	40/0.0/0/4
Chr1	74112	CG	G	40/0.0/0/14	40/0.0/0/18
Chr1	74113	CHG	G	40/0.0/0/15	40/0.0/0/18
Chr1	74115	CG	C	40/0.0/0/9	40/0.0/0/5
Chr1	74116	CG	G	40/0.0/0/14	40/0.0/0/18
Chr1	74118	CHH	G	40/0.0/0/14	40/0.0/0/15
Chr1	74120	CHH	C	40/0.0/0/7	40/0.0/0/4
Chr1	74123	CHH	G	40/0.0/0/15	40/0.0/0/17
Chr1	74125	CG	C	40/0.0/0/6	40/0.0/0/6
Chr1	74126	CG	G	40/0.0/0/15	40/0.0/0/15
Chr1	74129	CHH	G	40/0.0/0/14	40/0.0/0/14
Chr1	74135	CHG	C	40/0.0/0/10	40/0.0/0/7
Chr1	74137	CHG	G	40/0.0/0/14	40/0.0/0/13
Chr1	74139	CG	C	40/0.0/0/9	40/0.0/0/6
Chr1	74140	CG	G	40/0.0/0/13	40/0.0/0/8
Chr1	74141	CHG	G	40/0.0/0/12	40/0.0/0/9
Chr1	74142	CHH	C	40/0.0/0/11	40/0.0/0/7
Chr1	74147	CHH	G	40/0.0/0/14	40/0.0/0/14
Chr1	74148	CHH	G	40/0.0/0/14	40/0.0/0/15
Chr1	74149	CHH	G	40/0.0/0/13	40/0.0/0/14
Chr1	74153	CHH	C	40/0.0/0/14	40/16.7/1/5
Chr1	74158	CHH	C	40/0.0/0/14	40/0.0/0/3
Chr1	74161	CG	C	40/0.0/0/12	40/0.0/0/3
Chr1	74162	CG	G	40/0.0/0/12	40/0.0/0/18
Chr1	74163	CHG	G	0	40/0.0/0/17
Chr1	74164	CHH	G	40/0.0/0/11	40/0.0/0/17
Chr1	74166	CHH	G	40/0.0/0/12	40/0.0/0/16
Chr1	74167	CHH	G	40/0.0/0/13	40/0.0/0/15
Chr1	74169	CHH	C	40/0.0/0/11	40/0.0/0/5
Chr1	74170	CHG	C	40/0.0/0/10	40/0.0/0/5
Chr1	74172	CHG	G	40/0.0/0/19	40/0.0/0/14
Chr1	74173	CG	C	40/0.0/0/10	40/16.7/1/5
Chr1	74174	CG	G	40/0.0/0/18	40/0.0/0/14
Chr1	74175	CHG	G	40/0.0/0/18	0
Chr1	74178	CHH	C	40/0.0/0/10	40/0.0/0/5
Chr1	74181	CHH	G	40/0.0/0/17	40/0.0/0/14
Chr1	74182	CHH	G	40/0.0/0/17	40/0.0/0/13
Chr1	74183	CHH	C	40/0.0/0/9	40/0.0/0/3
Chr1	74184	CHH	C	40/0.0/0/9	40/0.0/0/3
Chr1	74187	CHH	G	40/0.0/0/18	0
Chr1	74188	CHH	C	40/0.0/0/8	40/0.0/0/5
Chr1	74191	CHH	G	40/0.0/0/18	40/0.0/0/14
Chr1	74192	CHH	G	40/0.0/0/18	40/0.0/0/14
Chr1	74198	CHH	C	40/0.0/0/5	40/0.0/0/4
Chr1	74200	CHH	C	40/0.0/0/4	40/0.0/0/4
Chr1	74203	CHG	C	40/0.0/0/3	40/20.0/1/4
Chr1	74204	CG	C	40/0.0/0/3	40/20.0/1/4
Chr1	74205	CG	G	40/0.0/0/19	40/0.0/0/14
Chr1	74208	CHH	G	40/0.0/0/20	40/0.0/0/15
Chr1	74209	CHG	C	40/0.0/0/3	40/0.0/0/5
Chr1	74211	CHG	G	40/0.0/0/22	40/0.0/0/11
Chr1	74212	CHH	C	40/0.0/0/2	40/0.0/0/6
Chr1	74213	CHH	C	40/0.0/0/3	40/0.0/0/5
Chr1	74214	CHH	C	40/0.0/0/2	0
Chr1	74216	CHH	C	40/0.0/0/3	40/0.0/0/5
Chr1	74217	CHH	C	40/0.0/0/3	40/0.0/0/4
Chr1	74221	CHH	C	40/0.0/0/3	40/0.0/0/4
Chr1	74225	CHH	G	40/0.0/0/15	40/0.0/0/16
Chr1	74229	CHH	G	40/0.0/0/16	40/5.9/1/16
Chr1	74231	CHH	G	40/0.0/0/17	40/0.0/0/18
Chr1	74233	CHG	C	40/0.0/0/3	0
Chr1	74235	CHG	G	40/0.0/0/15	40/0.0/0/18
Chr1	74238	CHH	C	40/0.0/0/3	40/0.0/0/3
Chr1	74239	CHG	C	40/0.0/0/3	0
Chr1	74241	CHG	G	40/0.0/0/14	40/13.3/2/13
Chr1	74242	CHH	G	40/0.0/0/15	40/0.0/0/14
Chr1	74244	CHH	G	40/0.0/0/16	40/0.0/0/17
Chr1	74247	CHH	G	40/0.0/0/16	40/0.0/0/14
Chr1	74249	CHH	C	40/0.0/0/2	40/0.0/0/4
Chr1	74250	CHH	C	0	40/0.0/0/3
Chr1	74251	CHG	C	0	40/0.0/0/3
Chr1	74253	CHG	G	40/0.0/0/14	40/0.0/0/16
Chr1	74261	CHH	C	40/0.0/0/1	40/0.0/0/4
Chr1	74263	CHH	C	40/0.0/0/1	40/0.0/0/4
Chr1	74266	CHH	G	40/0.0/0/16	40/0.0/0/14
Chr1	74269	CHH	G	40/0.0/0/14	40/0.0/0/19
Chr1	74274	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74275	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74281	CHH	G	40/0.0/0/17	40/4.8/1/20
Chr1	74284	CG	C	40/0.0/0/1	40/0.0/0/1
Chr1	74285	CG	G	40/0.0/0/17	40/4.8/1/20
Chr1	74287	CHH	C	0	40/0.0/0/1
Chr1	74289	CHH	C	0	40/0.0/0/1
Chr1	74293	CHH	C	0	40/0.0/0/1
Chr1	74296	CHH	G	40/0.0/0/21	40/0.0/0/19
Chr1	74315	CHH	G	40/0.0/0/24	40/0.0/0/18
Chr1	74325	CHH	G	40/0.0/0/25	40/0.0/0/21
Chr1	74327	CHH	G	40/0.0/0/25	40/0.0/0/20
Chr1	74330	CHG	G	40/0.0/0/23	40/0.0/0/20
Chr1	74336	CHH	G	40/0.0/0/24	40/0.0/0/18
Chr1	74345	CHH	G	40/3.2/1/30	40/0.0/0/23
Chr1	74358	CHG	G	40/7.4/2/25	40/0.0/0/22
Chr1	74360	CHH	G	40/0.0/0/26	40/0.0/0/24
Chr1	74369	CHH	G	40/0.0/0/25	40/0.0/0/22
Chr1	74372	CG	G	40/0.0/0/24	40/0.0/0/16
Chr1	74375	CHH	G	40/0.0/0/24	40/0.0/0/17
Chr1	74378	CHH	G	40/0.0/0/24	40/0.0/0/21
Chr1	74382	CHH	G	40/0.0/0/24	40/0.0/0/16
Chr1	74384	CHH	G	40/0.0/0/22	40/0.0/0/14
Chr1	74388	CHG	C	40/0.0/0/1	0
Chr1	74389	CG	C	40/0.0/0/1	0
Chr1	74390	CG	G	40/0.0/0/24	40/0.0/0/18
Chr1	74394	CHH	G	40/0.0/0/21	40/0.0/0/17
Chr1	74397	CHG	C	40/0.0/0/1	0
Chr1	74398	CG	C	40/0.0/0/1	0
Chr1	74399	CG	G	40/0.0/0/22	40/0.0/0/16
Chr1	74402	CHH	G	40/0.0/0/22	40/0.0/0/17
Chr1	74404	CHH	G	40/0.0/0/22	40/0.0/0/16
Chr1	74406	CHH	G	40/0.0/0/24	40/0.0/0/12
Chr1	74407	CHH	C	40/0.0/0/2	0
Chr1	74409	CHG	C	40/0.0/0/2	0
Chr1	74410	CG	C	40/0.0/0/2	0
Chr1	74411	CG	G	40/0.0/0/24	40/0.0/0/13
Chr1	74417	CHH	G	40/0.0/0/23	40/0.0/0/16
Chr1	74420	CHH	C	40/0.0/0/1	0
Chr1	74423	CHH	G	40/0.0/0/23	40/0.0/0/16
Chr1	74424	CHH	G	40/0.0/0/22	40/0.0/0/13
Chr1	74425	CHH	C	40/0.0/0/1	0
Chr1	74430	CHH	C	40/0.0/0/1	0
Chr1	74431	CHH	C	40/0.0/0/1	0
Chr1	74433	CHH	C	40/0.0/0/1	0
Chr1	74434	CHG	C	40/0.0/0/2	0
Chr1	74436	CHG	G	40/0.0/0/24	40/0.0/0/13
Chr1	74439	CHH	G	40/0.0/0/18	40/0.0/0/14
Chr1	74440	CHH	C	40/0.0/0/2	0
Chr1	74441	CHH	C	40/0.0/0/2	0
Chr1	74447	CHH	C	40/0.0/0/2	0
Chr1	74450	CHH	C	40/0.0/0/2	0
Chr1	74455	CHH	G	40/0.0/0/19	40/0.0/0/15
Chr1	74456	CHG	C	40/0.0/0/2	0
Chr1	74458	CHG	G	40/0.0/0/19	40/0.0/0/13
Chr1	74462	CHH	G	40/0.0/0/18	40/0.0/0/17
Chr1	74464	CHH	G	40/0.0/0/18	40/0.0/0/15
Chr1	74467	CHH	C	40/0.0/0/2	0
Chr1	74468	CHH	C	40/33.3/1/2	0
Chr1	74476	CHH	C	40/33.3/1/2	0
Chr1	74479	CHH	C	40/0.0/0/3	0
Chr1	74484	CHH	C	40/0.0/0/3	0
Chr1	74486	CHH	C	40/0.0/0/3	0
Chr1	74488	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74491	CHH	C	40/0.0/0/2	0
Chr1	74493	CHH	C	0	40/0.0/0/1
Chr1	74495	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74498	CHH	G	40/0.0/0/11	40/0.0/0/10
Chr1	74500	CHH	G	40/0.0/0/11	40/0.0/0/8
Chr1	74501	CHH	G	40/0.0/0/11	40/0.0/0/8
Chr1	74503	CHH	G	40/0.0/0/12	40/0.0/0/6
Chr1	74506	CHH	G	40/0.0/0/12	40/0.0/0/9
Chr1	74507	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74510	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74514	CHH	G	40/0.0/0/9	40/0.0/0/7
Chr1	74515	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74520	CHH	G	40/0.0/0/8	40/0.0/0/7
Chr1	74524	CHH	G	40/0.0/0/8	40/0.0/0/6
Chr1	74525	CHH	G	40/0.0/0/8	40/0.0/0/6
Chr1	74531	CHH	G	40/0.0/0/7	40/0.0/0/6
Chr1	74538	CHH	G	40/0.0/0/9	40/0.0/0/7
Chr1	74539	CHH	G	40/0.0/0/9	40/0.0/0/7
Chr1	74540	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74541	CHH	C	40/0.0/0/1	0
Chr1	74549	CHH	C	40/0.0/0/1	0
Chr1	74551	CHG	C	40/0.0/0/1	40/0.0/0/1
Chr1	74553	CHG	G	40/0.0/0/9	40/0.0/0/5
Chr1	74556	CHH	C	40/0.0/0/1	40/0.0/0/1
Chr1	74562	CHH	C	40/0.0/0/1	0
Chr1	74570	CHH	G	40/0.0/0/7	40/0.0/0/5
Chr1	74573	CHH	G	40/0.0/0/7	40/0.0/0/5
Chr1	74587	CHH	G	40/0.0/0/5	40/0.0/0/3
Chr1	74604	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	74607	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	74610	CG	G	40/0.0/0/3	40/0.0/0/3
Chr1	74611	CHG	G	40/0.0/0/3	40/0.0/0/3
Chr1	74617	CHH	C	40/0.0/0/1	0
Chr1	74622	CHH	G	40/0.0/0/3	40/0.0/0/3
Chr1	74633	CHH	G	40/0.0/0/2	40/0.0/0/2
Chr1	74634	CHH	G	40/0.0/0/2	40/0.0/0/2
Chr1	74635	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	74639	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	74642	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	74650	CHH	G	40/0.0/0/1	40/0.0/0/3
Chr1	74654	CG	C	40/0.0/0/3	40/0.0/0/3
Chr1	74655	CG	G	40/0.0/0/1	40/0.0/0/3
Chr1	74660	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	74661	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	74665	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	74666	CHG	C	40/0.0/0/4	40/0.0/0/3
Chr1	74667	CG	C	40/0.0/0/4	40/0.0/0/3
Chr1	74668	CG	G	40/0.0/0/1	40/0.0/0/2
Chr1	74672	CHG	C	40/0.0/0/4	40/0.0/0/4
Chr1	74674	CHG	G	40/0.0/0/1	40/0.0/0/1
Chr1	74676	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	74678	CHG	C	40/0.0/0/4	40/0.0/0/3
Chr1	74680	CHG	G	40/0.0/0/1	40/0.0/0/1
Chr1	74682	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	74685	CHH	G	40/0.0/0/1	40/0.0/0/1
Chr1	74686	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	74692	CHG	C	40/0.0/0/4	40/0.0/0/4
Chr1	74694	CHG	G	40/0.0/0/2	0
Chr1	74696	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	74697	CHH	G	40/0.0/0/2	40/0.0/0/1
Chr1	74699	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	74701	CHH	C	40/0.0/0/4	40/0.0/0/3
Chr1	74702	CHG	C	40/0.0/0/4	40/0.0/0/3
Chr1	74704	CHG	G	40/0.0/0/3	40/0.0/0/1
Chr1	74707	CHH	C	40/0.0/0/4	0
Chr1	74708	CHG	C	40/0.0/0/4	40/0.0/0/3
Chr1	74710	CHG	G	40/0.0/0/3	40/0.0/0/2
Chr1	74713	CHH	G	40/0.0/0/3	40/0.0/0/2
Chr1	74718	CHH	C	40/0.0/0/4	40/0.0/0/4
Chr1	74721	CG	C	40/0.0/0/3	40/0.0/0/4
Chr1	74722	CG	G	40/0.0/0/2	40/0.0/0/2
Chr1	74723	CHG	G	40/0.0/0/2	40/0.0/0/1
Chr1	74725	CHH	G	40/0.0/0/4	40/0.0/0/2
Chr1	74726	CHH	G	40/0.0/0/4	40/0.0/0/2
Chr1	74729	CHH	G	40/0.0/0/4	40/0.0/0/3
Chr1	74731	CG	C	40/0.0/0/3	40/0.0/0/2
Chr1	74732	CG	G	40/0.0/0/4	40/0.0/0/3
Chr1	74733	CHG	G	40/0.0/0/4	40/0.0/0/2
Chr1	74735	CG	C	40/0.0/0/3	40/0.0/0/2
Chr1	74736	CG	G	40/0.0/0/6	40/0.0/0/1
Chr1	74738	CHH	C	40/0.0/0/3	40/0.0/0/2
Chr1	74739	CHH	C	40/0.0/0/3	40/0.0/0/2
Chr1	74742	CHH	C	40/0.0/0/3	40/0.0/0/2
Chr1	74744	CHH	C	40/0.0/0/3	40/0.0/0/2
Chr1	74748	CG	C	40/0.0/0/2	40/0.0/0/2
Chr1	74749	CG	G	40/0.0/0/6	40/0.0/0/2
Chr1	74751	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	74756	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	74758	CHH	C	40/0.0/0/1	40/0.0/0/2
Chr1	74767	CHH	C	0	40/0.0/0/2
Chr1	74771	CHH	G	40/0.0/0/7	40/0.0/0/2
Chr1	74772	CHH	G	40/0.0/0/7	40/0.0/0/2
Chr1	74779	CHH	C	0	40/0.0/0/1
Chr1	74781	CHG	C	0	40/0.0/0/1
Chr1	74783	CHG	G	40/0.0/0/7	40/0.0/0/2
Chr1	74785	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	74799	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	74800	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	74801	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	74806	CHH	G	40/0.0/0/8	40/0.0/0/2
Chr1	74813	CHG	G	40/0.0/0/3	0
Chr1	74818	CG	G	40/0.0/0/3	0
Chr1	74826	CHH	C	0	40/0.0/0/1
Chr1	74829	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	74839	CHH	G	40/0.0/0/1	40/0.0/0/2
Chr1	74841	CHH	G	40/0.0/0/1	40/0.0/0/3
Chr1	74863	CHH	G	40/0.0/0/1	40/0.0/0/4
Chr1	74864	CHH	G	40/0.0/0/2	40/0.0/0/4
Chr1	74865	CHH	G	40/0.0/0/2	40/0.0/0/4
Chr1	74868	CHH	G	40/0.0/0/2	40/0.0/0/4
Chr1	74877	CHH	G	40/0.0/0/2	40/0.0/0/6
Chr1	74878	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74883	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74886	CHH	C	40/0.0/0/2	40/0.0/0/2
Chr1	74889	CHH	G	40/0.0/0/1	40/0.0/0/4
Chr1	74893	CHH	G	40/0.0/0/1	40/0.0/0/4
Chr1	74894	CHG	C	40/0.0/0/2	40/0.0/0/1
Chr1	74896	CHG	G	40/0.0/0/1	40/0.0/0/4
Chr1	74902	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74905	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74909	CG	C	40/0.0/0/2	40/0.0/0/1
Chr1	74910	CG	G	40/0.0/0/2	0
Chr1	74912	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74915	CHH	G	40/0.0/0/2	0
Chr1	74916	CHH	C	40/0.0/0/2	40/0.0/0/1
Chr1	74918	CG	C	40/0.0/0/2	40/0.0/0/1
Chr1	74919	CG	G	40/0.0/0/2	0
Chr1	74921	CHH	G	40/0.0/0/2	0
